species,date_collected,weeks_dried,location,donating_institution,storage_type,extraction_method,RNA_concentration,260_280,260_230,galbut_virus_positive_qPCR,sample_id,I7_index,I5_index,sample_type,include_in_plots,R1_strand
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701565_SRR12187519,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701566_SRR12187518,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701567_SRR12187517,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701568_SRR12187516,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701569_SRR12187515,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701570_SRR12187514,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701571_SRR12187513,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701572_SRR12187512,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701573_SRR12187511,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701574_SRR12187510,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701575_SRR12187509,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701576_SRR12187508,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701577_SRR12187507,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701578_SRR12187506,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701579_SRR12187505,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701580_SRR12187504,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701581_SRR12187503,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701582_SRR12187502,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701583_SRR12187501,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701584_SRR12187500,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701585_SRR12187499,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701586_SRR12187498,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701587_SRR12187497,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701588_SRR12187496,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701589_SRR12187495,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701590_SRR12187494,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701591_SRR12187493,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701592_SRR12187492,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701594_SRR12187490,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701595_SRR12187489,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701596_SRR12187488,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701597_SRR12187487,,,Fresh_frozen,T,reverse
melanogaster,2019,NA,"Fort Collins, CO",Colorado State University,Fresh,NA,,,,,SRX8701598_SRR12187486,,,Fresh_frozen,T,reverse
