EL1: Electronic Ladder,A1: 4WkFrozen_F_2,B1: 4WkFrozen_F_3,C1: 8WkFrozen_F_2,D1: 8WkFrozen_F_3,E1: 12WkFrozen_F_2,F1: 12WkFrozen_F_3,G1: 16WkFrozen_F_2,H1: 16WkFrozen_F_3,A2: 20WkFrozen_F_2,B2: 20WkFrozen_F_3,C2: 24WkFrozen_F_2,D2: 24WkFrozen_F_3,E2: 36WkFrozen_F_2,F2: 36WkFrozen_F_3,G2: 48WkFrozen_F_2,H2: 48WkFrozen_F_3
128.5506,0,0.09567142,0,0.06178951,0,0.0627594,0.03667831,0.005950928,0.2081971,0.03595591,0.006295204,0.1200433,0.02040005,0.03297901,0,0.04169035
138.9781,0,0,0,0.04223871,0,0.03518009,0.06039238,0,0.2235246,0,0,0.1661196,0.05041075,0.1491723,0.03319073,0
148.6813,0,0,0,0.1159077,0,0.08774853,0.07593584,0,0.2459407,0,0,0.1802826,0,0.2573876,0,0.02744484
158.0438,0,0,0,0.08192015,0,0.01108932,0.09785986,0,0.1743412,0,0.007001877,0.1633058,0,0.3255405,0,0.1087852
165.8421,0,0,0,0.01960707,0,0,0.06266022,0.003776073,0.1675572,0,0.01423979,0.1354175,0,0.3235936,0,0.181129
172.4071,0,0.02707052,0,0.1166835,0,0,0.007313251,0.008591652,0.103178,0,0,0.09242821,0,0.3683734,0,0.21384
177.1938,0,0.04123068,0,0.042171,0,0,0,0.03694105,0.04160976,0,0,0.0413456,0,0.3767133,0,0.165256
180.721,0,0.04914522,0,0.01030254,0,0,0,0,0,0,0.05447721,0,0,0.399848,0,0.2263827
182.7976,0,0.03541517,0,0.01704979,0,0,0,0,0.01587772,0,0.03387785,0,0,0.3356342,0,0.1530881
184.0034,0,0.05319738,0,0,0,0.008285522,0,0,0.05260372,0,0.07771587,0.1125164,0,0.2135777,0.008923531,0.1346622
183.7612,0,0.05643034,0,0,0,0.02624655,0,0.002576351,0.0557909,0.06086493,0.07326126,0.1657448,0,0.1059699,0,0
182.0963,0,0,0,0,0,0,0,0,0.005289555,0,0.03601789,0.2104874,0,0.05956841,0,0
179.2551,0,0.06221867,0,0.01704025,0,0,0,0.01321697,0,0,0.03023386,0.1444678,0,0.013515,0,0
175.4089,0,0,0.2815685,0,0,0,0,0,0,0,0.03916073,0.08587217,0,0.03007412,0,0
169.8648,0,0.001458168,5.537369,0,0,0,0,0,0,0,0.005628109,0.05247211,0,0,0,0.01945782
163.6694,0,0,12.34309,0.01069736,0.9469566,0,0,0,0,0,0.04030418,0.02510214,0,0,0,0
156.3133,0,0,20.78714,0,6.781437,0,0,0.05206156,0.06343174,0,0.04557133,0,0,0,0,0
148.2467,0,0,31.00375,0,14.29781,0,0,0.05735207,0.1563087,0,0.07924271,0,0,0,0,0
139.6879,0,0,43.20559,0,23.921,0,0,0.1346068,0.2659512,0,0,0,0,0,0,0
131.4263,0,0,57.60268,0,35.87553,0,0.01105404,0.02162504,0.265759,0,0,0.1029401,0,0,0,0.01017237
122.399,0,0,73.80773,0,50.42231,0,0,0,0.1483531,0,0.03798914,0.1171007,0,0,0,0
113.4277,0,0,91.75344,0,67.87396,0,0.01336336,0,0.1260324,0,0,0.1422215,0,0,0,0
104.7552,1.313557,0,111.2206,0.05448627,87.71301,0,0,0,0,0,0,0.1536055,0,0.02932024,0,0
96.02428,3.429737,0,132.3327,0.00483942,110.074,0,0.03684425,0,0,0,0,0.1631145,0,0.06747103,0,0
87.56607,5.707733,0,154.8338,0.03547668,134.6184,0,0,0,0,0,0.06842375,0.1142936,0,0.02077246,0,0
79.93262,8.084234,0,178.5278,0,161.3773,0,0,0,0,0,0.1878881,0.07144165,0,0.03588104,0,0
72.51277,10.62583,0,202.0479,0,188.7601,0,0,0,0,0,0.1700745,0.05659533,0,0,0,0
65.42696,13.33691,0,225.0178,0,216.4801,0,0,0,0,0,0.1801648,0.07351828,0,0,0,0
58.7887,16.32071,0,246.792,0,244.2535,0,0,0.0665493,0,0,0.1045079,0.133338,0,0,1.797518,0.04784822
53.03083,19.41836,0,266.6136,0,270.0586,0,0.02397442,0.03475285,0.01209021,0,0.06656027,0.220964,0.2329025,0,4.532263,0.08499527
47.41869,22.66979,0,283.323,0,293.7128,0,0,0.01030684,0.006678581,0,0.08545065,0.2276177,1.755758,0,7.776953,0.04911184
42.51573,26.22635,0,296.295,0.06090593,315.1197,0,0,0,0.1123743,0,0,0.2956109,3.427885,0,11.7524,0.02429008
38.00323,30.11348,0,304.921,0.09976101,332.6959,0,0,0,0,0,0.002444267,0.3429875,5.163334,0,16.55998,0.007617474
34.11943,34.034,0,309.3941,0.04096413,345.2898,0,0.03661633,0,0,0,0,0.3018479,7.031904,0,22.20995,0
30.83343,38.25269,0,309.2865,0,352.6328,0,0,0,0,0,0,0.2158747,9.01565,0,28.91875,0
28.08009,42.58679,0,304.5585,0,354.8375,0,0,0,0,0,0,0.1845269,11.10268,0,36.59483,0
25.57552,47.29226,0,294.5282,0,351.0275,0,0,0,0,0,0,0.06648588,13.30623,0,45.22703,0
23.51604,52.2544,0,280.316,0,342.7948,1.244049,0,0,0,0,0,0,15.65561,0,55.00849,0
21.80286,57.57055,0,263.0775,0,330.688,5.343866,0,0,0,0.5380611,0,0.01302338,18.08439,0,65.79666,0
20.47512,63.20541,0,243.226,0,313.3272,10.87159,0,0,0,3.550322,0,0.003681183,20.75764,0,77.56145,0
19.14278,69.38956,0,221.8688,0,293.9659,18.19918,0,0,0,7.338387,0.1217403,0.003047466,23.67626,0,90.40242,0
18.04222,75.89574,0,199.4524,0,273.3303,27.43039,0,0,0,11.79055,0.164535,0,26.78386,0,104.4582,0
16.84309,82.99593,0,176.8974,0,251.16,38.89111,0,0,0,17.28925,0.1333075,0,30.07726,0,119.8076,0
16.03548,90.368,0,155.2408,0,227.8466,52.8302,0,0,0,24.0711,0.06582069,0,33.54515,0,136.2438,0
15.28468,98.18723,0,134.7425,0,204.4857,68.99388,0,0,0,32.22286,0.01609278,0,37.21626,0,154.3933,0
14.43121,106.5928,1.673061,115.9278,0,181.8865,87.509,0,0,0,41.96013,0,0,40.9939,0,173.8203,0
13.87171,115.7921,3.677044,98.78337,0,160.5974,108.689,0,0,0,53.3921,0.01205873,0,45.15096,0,193.8701,0
13.48894,125.3043,5.817528,83.77941,0,141.1353,131.8284,0,0,0,66.59029,0,0.02389669,49.49446,0,215.6074,0
13.46001,135.6965,8.08399,71.21098,0,123.5309,156.5865,0,0,0,82.00224,0,0.1519589,54.0808,0,237.9255,0.4760342
13.14586,147.5964,10.39514,60.60217,0,107.1126,183.4727,0,0,0,99.55513,0,0.04845667,58.83905,0,260.9807,1.655601
12.79887,159.8466,12.86056,52.00166,0,93.41588,211.4761,0,0,0,119.4723,0,0.04191875,63.84814,0,284.7594,3.128037
12.60898,173.2833,15.39043,44.81661,0,81.57962,239.4061,0,0,0,141.7824,0.04996204,0,69.28049,0,308.2572,5.096576
12.22836,187.361,18.2111,39.15064,0,71.46184,266.6866,0,0,0,165.9399,0.009395599,0.007897854,74.91351,0,332.0363,7.471472
11.97549,202.199,21.23211,34.47261,1.585434,62.94024,291.729,0,0,0,192.1046,0,0.01864004,80.92725,0,354.8198,10.3295
