EL1: Electronic Ladder,A1: 40Wk,B1: 44Wk,C1: 48Wk
188.503,12.53652,12.87183,15.23179
233.4973,12.42378,12.78364,15.21836
286.0728,12.25691,12.7079,15.11656
339.0046,12.19916,12.54734,15.00659
386.9084,12.11569,12.50854,14.90388
424.165,12.09301,12.47173,14.87242
445.8756,12.16499,12.35049,14.80367
450.1462,12.2229,12.22241,14.72492
438.2472,12.24489,12.25007,14.70735
412.7982,12.11284,12.22216,14.57394
377.4191,11.96158,12.13066,14.38384
337.5124,11.67636,12.08982,14.23202
295.9637,11.50818,12.04626,14.06843
253.5426,11.43901,11.96241,13.97037
215.4013,11.3306,11.84442,14.00471
181.458,11.28353,11.75796,14.08183
152.4125,11.32555,11.6784,14.07822
128.6558,11.24485,11.73656,14.10985
109.6806,11.28899,11.69296,14.32092
94.68867,11.14326,11.68901,14.33008
83.35398,11.01624,11.63153,14.34886
74.50935,11.01438,11.49777,14.21859
67.80062,10.95721,11.53398,14.1679
62.52628,10.94606,11.54785,14.05435
59.22767,10.88641,11.46387,13.96548
56.75893,10.84168,11.47273,13.94036
55.00687,10.76919,11.50501,13.89306
53.52545,10.74913,11.53589,13.81697
52.47616,10.81422,11.33351,14.00111
51.44522,10.77826,11.18313,14.16641
50.72421,10.62651,10.9894,14.27855
49.92419,10.64368,10.80826,14.22392
49.17576,10.65557,10.65195,14.16804
48.30043,10.63723,10.5554,13.91434
48.00196,10.64066,10.53484,13.77692
47.61724,10.61852,10.54105,13.68843
47.07895,10.50462,10.56317,13.5882
46.92889,10.52111,10.56168,13.49635
46.89749,10.51226,10.5457,13.61868
46.92075,10.44304,10.56212,13.71149
47.17645,10.25369,10.57233,13.86981
47.48476,10.2441,10.48003,13.84239
47.87957,10.25025,10.29967,13.80857
48.47378,10.16502,10.25488,13.71323
49.55062,10.14515,10.18984,13.64755
50.41106,10.14318,10.06453,13.6408
51.42236,10.05391,9.942335,13.77616
52.67937,10.15066,9.907007,13.68742
53.67337,10.20184,9.939775,13.63463
54.70521,10.07654,9.994816,13.71591
55.93967,9.91652,10.03744,13.86565
57.09141,9.862578,9.962788,13.95575
58.44881,9.838164,10.01861,13.98975
60.30965,9.788106,10.01223,13.84216
62.52384,9.818793,10.12427,13.5542
64.87007,9.88594,10.06425,13.31279
67.41753,9.865787,9.960627,13.28104
