EL1: Electronic Ladder,A1: 4Wk_frozen,B1: 8Wk_frozen,C1: 12Wk_frozen,D1: 16Wk_frozen,E1: 20Wk_frozen,F1: 24Wk_frozen,G1: 36Wk_frozen,H1: 48Wk_frozen,A2: 60Wk_frozen
5.731161,26.72377,46.5462,334.8008,0.02451611,50.52515,0,15.16784,0,0.04888391
5.530811,30.28286,61.54131,318.5632,0,54.23571,0,18.07449,0,0.07215643
5.314283,34.17412,79.48858,296.9897,0,58.08762,0,21.05342,0,0
5.039759,38.02981,100.8576,273.8464,0,62.13577,0,24.56702,0.05501604,0
4.879637,42.19033,125.3038,250.9457,0,66.37994,0,28.33959,0.1015716,0
4.533747,46.55436,153.909,226.5947,0,71.05058,0,32.46161,1.430511E-06,0
4.246821,51.06025,185.1353,202.7786,0,75.98048,0,36.95657,0.01017857,0
3.987095,55.72403,219.5075,180.056,0,81.15896,0,41.6855,0,0
3.707324,60.89751,256.2535,158.8565,0,86.70246,0,46.98328,0.006075859,0
3.459528,66.24828,294.3673,139.2733,0,92.59077,0,52.5531,0.02949572,0
3.27951,71.97522,334.7639,122.0953,0,98.76614,0,58.53688,0.102241,0
3.214552,77.87535,376.3398,107.3646,0,105.65,0,64.94556,0.04845428,0
3.010284,84.24419,416.6065,94.5911,0,112.7604,0,72.01775,0.06193924,0
3.008267,90.84863,455.7566,83.96991,0,120.3003,0,79.91281,0.0594368,0
2.798151,97.85591,490.4792,74.99826,0,128.3177,0,88.09715,0.05348444,0
2.634225,105.4147,520.5855,67.63615,0,137.2101,0,96.9534,0,0
2.382677,113.3292,544.1249,61.42065,0,146.2866,0,106.7103,0,0
2.227367,121.3265,558.0767,56.34634,0,155.6266,0,116.9709,0,0
2.095788,130.4033,562.9147,52.03696,0,165.6132,0,128.0861,0,0
1.843846,139.7048,558.8807,48.41241,0,175.7348,0,140.0626,0.1057715,0
1.697485,149.7368,548.0147,45.53419,0,185.7848,0,152.9524,0.1938477,0
1.858475,160.3634,528.7769,43.28851,0,196.1206,2.37602,166.5243,0.2146664,0
1.811575,171.5343,502.7351,41.33727,0,205.5439,8.089235,181.0198,0.2113042,0
1.964374,183.6998,472.9682,39.62926,0,214.4237,15.38979,196.3992,0.2015572,0
1.901066,196.8541,439.4041,38.05315,0,222.1995,24.2502,211.8697,0.06927109,0
1.778781,210.5751,404.2576,36.67339,0,229.0428,35.00059,227.8324,0,0
1.556797,225.2413,369.3197,35.46333,1.528482,233.8741,47.77921,243.9995,0,0
1.403651,239.6061,332.9356,34.10835,3.450781,236.6523,62.29402,259.4343,0.0337739,0
1.308333,254.575,299.0537,32.97347,5.566904,237.7193,78.69277,274.818,0,1.727074
1.10693,269.1575,267.9288,31.94379,8.041731,236.3258,97.49854,289.0966,0,3.726269
1.049143,283.074,239.8002,31.01507,10.85505,232.2247,118.523,300.8795,0.01934767,5.772707
1.241197,295.3736,214.0623,30.28761,14.1037,225.8817,142.6255,310.2418,0.08797455,7.970449
1.354727,306.2834,192.4892,29.73744,17.77685,217.3456,169.3698,316.3972,0.1187153,10.30192
1.502384,316.1817,174.6747,29.24878,22.09363,206.9343,197.8775,319.4028,0.07706118,12.73005
1.519122,323.6993,160.0956,28.95801,26.98781,195.5881,228.53,317.8622,0,15.41001
1.324928,327.7441,148.2983,28.85864,32.44276,184.279,261.2888,312.5091,0,18.30737
1.076735,328.4132,139.194,28.94661,38.3085,172.8961,294.6628,302.5018,0,21.36667
