EL1: Electronic Ladder,A1: OC_ReSeq_2_Pool_Redo
2.535863,1.180335
2.543877,1.209285
2.202764,1.192794
2.058108,0.9976106
2.055689,0.8222785
1.419785,0.8002305
1.633123,0.8148336
1.289539,0.9500651
1.124597,1.055311
0.7142878,1.099644
0.8214197,1.175582
0.4837036,1.206843
0.389328,1.190641
0.4638777,1.251678
0.5544691,1.161265
0.4419365,1.061448
0.9010963,0.9620996
0.9482441,0.9350576
1.240645,0.9349141
1.369311,0.9561267
1.687356,1.077254
1.557024,1.017815
1.906747,1.240572
1.692467,1.278149
1.469384,1.192613
0.8921251,1.08344
0.5959177,1.097626
0.06885433,1.059275
0,1.077687
0.08590508,1.177799
0.6434937,1.230962
1.156743,1.347788
1.417583,1.722049
1.621301,1.87674
1.698487,2.191839
1.534317,2.495316
1.180868,2.741656
0.935483,2.923058
0.9791861,3.009086
0.7561302,2.961389
0.9013948,2.907749
0.6763268,3.020555
0.5943394,3.348217
0.4819641,3.59399
0.6240425,3.927455
1.045187,4.228983
1.18954,4.470689
1.426931,4.622456
1.407663,4.6914
1.264309,4.633563
1.244625,4.787079
0.9774227,4.886344
1.077868,5.308459
0.7523842,5.649122
0.7052393,5.704686
0.7714539,5.817987
1.152409,5.999244
1.549126,5.979633
1.664007,5.799446
1.784235,5.551647
2.111711,5.519145
2.15968,5.45531
2.17244,5.532089
1.807819,5.526828
1.635852,5.356712
1.210507,5.352367
1.577154,5.155385
1.549655,4.905912
1.301436,4.588214
1.330421,4.438671
1.558768,4.344109
1.401867,4.297495
1.292251,4.168436
1.042256,4.117543
1.142995,4.095958
1.080258,4.030579
1.492688,3.856771
1.665532,3.816358
2.059615,3.814945
