A1: Ladder,B1: PHDIP1072-11,C1: StPaul1919_1,D1: Oahu1950_1_mel,E1: Oahu1950_2_mel,F1: Honolulu1951_mel,G1: Kauai1954_mel,H1: Oahu1960_sim,A2: Kilaueau1953_sim,B2: Kauai_1952_sim,C2: Maui1958_sim,D2: Oahu1965_sim
104.8023,4.946594,14.11293,214.887,85.8229,153.2326,181.5766,137.8373,118.4901,40.34422,187.9771,95.5247
102.1224,4.634333,12.91252,207.4157,78.33911,154.0248,179.05,146.5546,109.383,36.10704,183.6342,100.6862
98.67931,4.310582,11.76711,199.7277,71.34398,154.532,175.7463,155.3671,100.8885,32.37954,178.7898,105.5578
94.40921,3.973145,10.86703,191.3682,64.85675,154.7921,172.0477,164.6582,92.58589,29.1117,173.7952,110.2491
89.58461,3.669651,10.11034,182.391,58.60596,154.4661,167.6423,173.5938,84.23301,26.13289,167.8863,114.9046
84.24711,3.440416,9.413928,173.0756,52.8094,153.3404,162.3394,182.4595,76.3186,23.46065,161.6267,119.7749
78.73106,3.113298,8.893653,163.2683,47.54488,151.6958,156.6583,191.286,68.7069,21.20747,155.0992,124.4703
73.00235,2.857311,8.255627,153.2663,42.91404,149.1002,150.7205,199.3173,61.77747,19.29004,148.2579,129.2172
67.12049,2.735466,7.753515,143.1239,38.70732,145.9943,144.0708,207.3021,55.23274,17.5609,141.2273,134.0842
61.32114,2.599935,7.332822,132.9594,34.98518,143.0993,137.0139,215.506,49.52865,16.03455,133.7953,138.8924
55.57453,2.640112,6.916758,122.8251,31.80804,139.0231,129.9835,223.1972,44.24896,14.89943,126.0048,143.3619
50.18665,2.523979,6.452554,112.9995,29.08443,134.6527,122.8216,230.9111,39.66502,13.90776,118.3296,147.9754
44.94593,2.267665,5.966824,103.4912,26.56919,129.8107,115.5356,237.7874,35.53423,13.03503,110.5481,152.3026
40.13545,2.059162,5.596227,94.38272,24.42316,124.6436,108.2604,245.0158,31.89416,12.20949,103.0616,156.3378
35.7918,1.942454,5.22204,85.49482,22.50055,119.0795,100.9429,251.4782,28.70868,11.42671,95.34853,160.3283
31.69094,1.745652,4.849846,77.03715,20.90453,113.0534,93.31657,257.0916,25.92072,10.72049,87.85239,163.6309
28.03121,1.558142,4.499137,69.28098,19.39902,106.9652,86.10127,261.4236,23.63879,9.904151,80.66173,166.4856
