EL1: Electronic Ladder,A1: 4WkDry_F_2,B1: 4Wk_Dry_F_3,C1: 8WkDry_F_2,D1: 8WkDry_F_3,E1: 12WkDry_F_2,F1: 12WkDry_F_3,G1: 16WkDry_F_2,H1: 16WkDry_F_3,A2: 20WkDry_F_2,B2: 20WkDry_F_3,C2: 24WkDry_F_2,D2: 24WkDry_F_3,E2: 36WkDry_F_2,F2: 36WkDry_F_3,G2: 48WkDry_F_2,H2: 48WkDry_F_3
96.02428,0,0,16.80781,0,0,0.06290054,102.4394,0.0872407,0.1188312,0.2460494,0.1229105,0.4308305,0.2068501,0.04203606,0.3001676,0.1230283
87.56607,0,0,16.94407,0.02379894,0,0.145669,123.17,0.08645153,0.1972108,0.1936479,0.1737814,0.3132024,0.09235811,0,0.2583289,0.0227952
79.93262,0,0,17.10112,0,0.04614067,0.2099733,145.5921,0.04402256,0.2268391,0.1430149,0.1505346,0.2302523,0,0.02118683,0.200943,0
72.51277,0,0.6914215,17.38626,0,0.06602478,0.2266827,170.2673,0,0.113646,0.1711268,0.06335926,0.1080647,0,0.02118444,0.08751392,0.01205873
65.42696,0,1.977634,17.69395,0,0.08061075,0.2759914,196.0924,0.09559822,0.1083865,0.12568,0.06801462,0.1726327,0.04133224,0.09073353,0.05807352,0.06971407
58.7887,0,3.373011,18.06818,0,0.03857899,0.2168803,223.3185,0.2001348,0.06378746,0.05517006,0.0495348,0.0972867,0.09497881,0.07556391,0,0.04613352
53.03083,0,4.759565,18.37146,0,0.0001802444,0.1789918,250.7399,0.2189798,0,0.1387625,0,0.005490303,0.1611934,0.0567112,0,0.07655382
47.41869,0,6.44075,18.68897,0,0,0.1707945,277.6389,0.2667518,0,0.08768415,0,0.04464054,0.2538824,0.01660919,0,0.1060715
42.51573,0,8.292143,18.98397,0,0.02082396,0.132462,303.8505,0.3576179,0,0,0,0.06860542,0.2410002,0.03880072,0.05956793,0.09757328
38.00323,0,10.29122,19.24792,0,0.05226469,0.254415,328.2187,0.362463,0,0,0.06332588,0.1138396,0.2355185,0,0.02230167,0.05434132
34.11943,0,12.44688,19.46313,0,0,0.2504272,349.4989,0.373857,0,4.673004E-05,0,0.1466293,0.1788049,0,0.1104999,0.06182814
30.83343,0,14.71674,19.66972,0,0,0.2179441,367.5898,0.315733,0,0,0.009634018,0.1780496,0.2296381,0,0.1240449,0.008934498
28.08009,0,17.06638,19.92558,0,0,0.07936144,381.4268,0.293293,0,0,0,0.2500095,0.237782,0.01447153,0.06955719,0
25.57552,0,19.52908,20.2137,0,0,0.04072094,390.8595,0.2723069,0,0,0,0.2875333,0.2642794,0,0.06879711,0
23.51604,0,22.14327,20.4836,0,0,0,394.6495,0.3375254,0.03087616,0.04853058,0.0373826,0.3049312,0.1977596,0.05106068,0.01940775,0
21.80286,0,24.99774,20.78628,0,0,0.04179096,394.1175,0.3162642,0,0.1036396,0,0.2043009,0.1664619,0.1241865,0,0.01403379
20.47512,0,28.18495,21.02431,0,0,0.04489517,387.6262,0.2293291,0,0.0969739,0,0.1317744,0.1779647,0.1064301,0,0.08524084
19.14278,0,31.61998,21.21091,0,0,0.07192039,376.4652,0.1239281,0,0.01415873,0.04427099,0.0954752,0.1271458,0.1191692,0,0.1156464
18.04222,0,35.22668,21.40992,0,0,0.0690279,361.0886,0.2035837,0,0.01863432,0.1016173,0.03398085,0.108376,0.07933331,0.08281231,0.1127858
