EL1: Electronic Ladder,A1: 40WkFrozen_F_2,B1: 40WkFrozen_F_3,C1: 44WkFrozen_F_2,D1: 44WkFrozen_F_3,E1: 48WkFrozen_F_2,F1: 48WkFrozen_F_3,G1: 52WkFrozen_F_2,H1: 52WkFrozen_F_3,A2: 52WkFrozen_F_3
4.533747,75.58803,81.45638,7.41442,13.60819,48.81229,113.0254,48.23317,1.870873,0
4.246821,78.97002,85.80007,7.464217,15.95411,53.12502,118.0838,52.03199,3.041074,0
3.987095,82.28499,90.20129,7.527215,18.38483,57.7626,122.3392,56.03431,4.484504,0
3.707324,85.24245,94.1346,7.53779,20.9746,62.60407,125.7056,60.17157,6.339143,0
3.459528,87.97751,97.97986,7.408533,23.79657,67.34087,127.7669,64.53144,8.490215,0
3.27951,90.57722,101.4942,7.261909,26.83554,72.15878,128.4298,69.17796,11.10383,0
3.214552,92.72668,104.6107,7.150393,29.98182,76.69218,127.6589,74.02254,14.3461,0.3322525
3.010284,94.6078,107.2228,7.117864,33.20414,80.85506,125.1761,78.91199,18.0184,0.989315
3.008267,96.1197,109.6631,6.990546,36.65859,84.43542,121.2001,83.89933,22.37814,1.798473
2.798151,97.12139,111.497,6.945234,40.24899,87.11669,115.6079,88.8557,27.45577,2.690621
2.634225,97.86031,112.935,6.912441,44.09346,89.07693,108.718,93.59164,33.25922,3.676991
2.382677,98.03107,113.9115,7.036721,48.05181,89.96177,100.5869,98.28067,39.83444,4.959311
2.227367,97.8501,114.3592,7.198666,52.3276,89.45833,91.72397,102.3489,47.24814,6.172801
2.095788,97.24378,114.163,7.291409,56.88594,87.75481,82.45224,105.8073,55.72334,7.577046
1.843846,96.4254,113.926,7.27776,61.99369,84.7737,73.26199,108.5229,65.02638,9.126288
1.697485,95.32256,113.0829,7.211036,67.46869,80.71564,64.33388,110.2415,75.47937,10.69754
1.858475,93.88132,111.9343,7.234365,73.28262,75.41384,56.18407,110.7986,87.09493,12.42667
1.811575,92.62675,110.4783,7.183573,79.34425,69.36765,48.85784,109.9789,99.44326,14.09273
1.964374,91.11109,108.9174,7.075108,85.9673,62.83228,42.76062,107.815,113.048,16.15978
1.901066,89.26284,106.8848,7.055684,93.06085,56.01382,37.44165,104.442,127.5827,18.34326
1.778781,87.32938,104.9301,7.00948,100.5381,49.44478,33.29832,99.88394,142.3812,20.72154
1.556797,85.40511,102.9725,7.081629,108.4684,43.11935,30.31179,94.41188,157.9503,23.24352
1.403651,83.24228,100.4894,7.148521,116.9681,37.13474,27.97219,87.8308,174.1831,25.92106
1.308333,81.07547,98.0414,7.217569,126.1284,32.10815,26.42235,80.83484,190.7381,28.85154
1.10693,78.9568,95.75417,7.162696,136.0168,27.80669,25.65309,73.62997,207.7658,32.05905
1.049143,76.84486,93.24692,7.203178,146.2536,24.40257,25.16618,66.52383,224.4673,35.26494
1.241197,74.84164,91.02123,7.318515,157.1691,21.69839,25.22416,59.59962,240.4558,38.7563
1.354727,73.32306,89.05709,7.291703,168.5892,19.80889,25.78805,53.25727,255.2425,42.35233
1.502384,71.69873,87.34264,7.265984,180.4662,18.6309,26.72809,47.41019,268.1189,46.37883
1.519122,70.23141,85.90409,7.20307,192.4605,17.98398,27.91657,42.51424,278.8589,50.58077
1.324928,69.17046,85.10358,7.153892,204.5226,17.74564,29.63249,38.4613,286.1694,55.22814
1.076735,68.21175,84.71957,7.214317,216.4105,17.87456,31.52837,35.36161,290.3442,60.13981
0.9952097,67.52656,84.73138,7.189792,228.0776,18.49721,33.65397,32.89659,290.9753,65.49872
0.8940001,67.17083,85.31334,7.237927,238.514,19.5324,36.03276,31.4137,287.6469,71.18233
0.725214,67.16393,86.39402,7.187644,247.3158,20.84359,38.73179,30.51777,281.0823,77.06245
0.6926012,67.58643,88.00148,7.263652,253.931,22.52639,41.56739,30.43369,270.5459,83.14232
0.6888208,68.3754,90.4501,7.263266,258.2375,24.46581,44.39715,30.81394,256.8951,89.42557
0.7387056,69.5954,93.42577,7.208119,259.6983,26.5249,47.52788,31.70162,240.793,95.87251
0.8532467,71.00403,96.86591,7.169112,258.0386,28.89902,50.60492,33.03534,222.6733,102.7855
0.7408857,72.94316,100.6552,7.076429,252.7487,31.37129,53.86933,34.94825,204.073,110.0001
0.7472887,75.12801,104.8025,7.031651,244.5296,33.98843,57.0494,37.22422,184.9336,117.8882
0.8692646,77.19675,109.1139,7.036773,233.1224,36.67514,60.09226,39.99284,166.2301,126.1986
1.168772,79.55843,113.4783,7.051594,219.3526,39.62618,63.01493,42.97367,148.8447,135.0245
1.190784,81.86349,117.7691,7.082226,203.1638,42.58519,65.56715,46.41323,132.9902,144.5869
1.200372,84.14303,121.3868,7.159229,185.5275,45.52365,68.12547,49.95762,119.0334,154.6935
1.114477,86.24984,124.5956,7.23291,167.1258,48.5742,70.28566,53.74857,106.78,165.7053
0.9727325,87.99986,127.2805,7.249369,148.6297,51.58189,72.09438,57.80747,96.44362,177.6988
0.8234692,89.21474,129.1314,7.324825,130.9525,54.33871,73.83319,61.90258,87.98122,190.1027
0.8036432,90.06071,130.2043,7.345574,114.5331,56.89888,75.27455,66.08432,81.23579,203.7211
0.7431259,90.52435,130.3905,7.330352,99.58168,59.13823,76.3309,70.23402,75.98222,218.3528
0.7612772,90.35563,129.8308,7.297699,86.63068,61.10326,77.06424,74.15919,71.95584,234.5422
1.037474,89.79939,128.3242,7.337612,75.85562,62.7254,77.53694,77.95473,69.24683,252.2538
1.257266,88.90076,126.2129,7.378084,67.58156,64.07697,77.6067,81.44285,67.82468,269.6142
1.272376,87.62749,123.3287,7.448579,61.52312,65.13447,77.22165,84.44577,67.26429,288.8912
1.354032,86.16184,119.5577,7.542006,57.45913,65.87142,76.77191,87.01554,67.55949,309.1886
1.327152,84.74984,115.8012,7.553921,55.33055,66.57377,75.96053,89.07797,68.84069,330.8929
1.441128,83.29955,111.8492,7.576026,54.91384,67.14442,75.09654,90.73026,70.921,355.3391
1.437162,81.80411,107.724,7.673604,56.13923,67.5912,74.2354,91.91672,73.92889,381.7687
1.53565,80.49034,103.8971,7.612139,58.56874,67.90115,73.36407,92.66538,77.84404,409.9746
1.483832,79.33798,100.3238,7.568219,62.1772,67.96119,72.36287,92.97845,82.73271,441.4855
1.313531,78.24326,97.06065,7.560633,66.73155,67.87662,71.3833,92.68842,88.84277,474.1794
1.350208,77.35848,94.02754,7.597217,72.27026,67.56678,70.59869,92.18082,96.15691,509.0592
1.262451,76.52917,91.57727,7.621776,78.38823,67.10057,69.75558,91.25903,104.7718,541.9834
1.230331,75.81626,89.13306,7.651696,85.10509,66.58774,68.94774,89.78545,114.6813,575.6822
1.182846,75.39339,87.06272,7.642013,92.42809,66.03932,68.41431,88.15427,126.0229,607.7493
1.293417,75.33416,85.44165,7.681344,100.1954,65.78082,67.88383,86.19417,139.1544,638.1376
