EL1: Electronic Ladder,A1: Fresh_M,B1: Fresh_F
143.8161,12.12493,18.72396
128.2083,12.19797,18.59959
116.2876,12.13813,18.46548
106.7961,12.08529,18.26963
100.4204,12.03598,18.17657
95.38192,12.12053,18.17401
93.35226,12.20784,18.17888
92.64267,12.16387,18.13562
94.22371,12.30079,18.17556
96.90433,12.35285,18.24726
102.3827,12.2681,18.35418
110.2861,12.26471,18.29848
122.4735,12.20635,18.21633
141.3798,12.14269,18.18023
170.7986,12.11076,18.23849
210.9362,12.19706,18.27031
259.3776,12.24332,18.10777
308.4174,12.23774,17.94464
355.5263,12.33145,17.85178
393.5872,12.39632,17.62625
419.0917,12.49039,17.56502
428.2565,12.48075,17.44805
422.171,12.32629,17.3862
403.9083,12.15002,17.5227
378.5743,12.07659,17.49989
349.6916,11.92975,17.5155
318.0304,11.68548,17.38731
283.594,11.42573,17.25107
251.2514,11.27374,17.05962
219.5008,11.16612,16.92203
189.4948,11.07257,16.89552
161.8502,11.03822,16.80299
137.637,10.96251,16.70288
116.0849,10.96145,16.62792
97.27939,10.91516,16.40638
82.55047,10.84363,16.35685
70.45276,10.70001,16.20525
60.37433,10.65708,15.99443
52.84796,10.69069,15.8334
46.54646,10.5519,15.8182
41.43076,10.39085,15.70024
37.51205,10.27581,15.48086
34.6571,10.14585,15.31503
32.13435,10.00831,15.11193
30.0269,9.904684,14.95157
28.46075,9.908728,14.90202
26.90372,9.850233,14.82143
25.56643,9.819838,14.75227
24.37341,9.778038,14.69543
23.58046,9.56575,14.69899
22.75212,9.375732,14.57117
22.14318,9.256762,14.36409
21.61739,9.159086,14.16327
20.96795,8.995373,13.84998
20.34533,8.927792,13.63456
19.55369,8.902447,13.45539
18.72646,8.811733,13.33558
18.06227,8.730244,13.2488
17.34932,8.604637,13.06363
16.862,8.479288,12.92979
16.39036,8.412399,12.84202
15.86924,8.385324,12.82415
15.43531,8.396105,12.73276
15.2607,8.302048,12.58083
15.06444,8.328205,12.51254
14.83599,8.275238,12.46411
14.61701,8.108009,12.43157
14.32147,7.98638,12.33244
13.9205,7.78721,12.14643
13.43469,7.693062,12.01865
13.04265,7.623531,12.05337
12.63771,7.430906,12.03786
12.33934,7.429897,11.9106
12.20116,7.345882,11.77061
11.92788,7.382227,11.66577
11.69658,7.325922,11.6475
11.36579,7.252823,11.69685
10.9402,7.268867,11.68816
10.75631,7.191607,11.65299
10.48614,7.265919,11.71938
10.28107,7.201435,11.77442
10.23685,7.133011,11.71903
10.16339,7.112257,11.69342
9.926272,7.120861,11.60504
9.68505,7.120079,11.48841
9.49529,7.088989,11.39203
9.363746,7.051224,11.36006
9.389474,7.124777,11.19267
9.438195,7.124578,11.12148
9.400531,7.154797,11.21874
9.311664,7.006907,11.15604
9.360101,6.930784,11.14507
9.367885,6.783073,11.23165
9.111299,6.73575,11.14743
8.719924,6.678806,11.08687
8.522365,6.692114,10.89285
8.265935,6.679878,10.757
8.196654,6.884682,10.58132
8.012654,7.004875,10.46036
7.826961,7.052481,10.41885
7.440206,7.018093,10.27314
7.225717,6.85923,10.20385
7.17373,6.717653,10.17491
6.929011,6.54426,10.05004
6.670002,6.436657,10.02872
6.534923,6.36171,9.889189
6.438015,6.225805,9.888443
6.533257,6.220449,9.948187
6.545789,6.257069,9.970587
6.555316,6.290777,10.05648
6.438367,6.305695,9.983606
6.381869,6.303095,9.992882
6.320765,6.361279,9.960907
6.14119,6.23826,9.878538
5.945993,6.199291,9.754169
5.762953,6.208662,9.669043
5.588173,6.086626,9.71628
5.522785,5.92314,9.682869
5.494606,5.799112,9.584135
5.46798,5.623045,9.510525
5.308587,5.489161,9.382071
5.249495,5.527786,9.380903
5.238706,5.603689,9.287861
5.190334,5.611187,9.226412
5.051305,5.653816,9.072041
4.876223,5.658882,9.005096
4.631876,5.608967,8.979969
4.561522,5.489212,8.766556
4.465994,5.453861,8.570009
4.224935,5.429964,8.58065
4.138312,5.349775,8.556129
4.119016,5.302086,8.562313
4.15511,5.25016,8.466013
4.014673,5.224287,8.410513
3.865959,5.115913,8.303619
3.694413,4.958506,8.107121
3.649324,4.89686,7.971645
3.608536,4.812329,7.763018
3.568916,4.817399,7.708471
3.633841,4.696935,7.639521
3.723514,4.596516,7.570503
3.584785,4.485722,7.391272
3.514358,4.403982,7.059612
3.163714,4.445547,6.735743
2.882694,4.43209,6.430029
2.646958,4.360286,6.101387
2.617253,4.355737,5.871187
2.573172,4.248075,5.679479
2.59084,4.13416,5.649303
2.863736,3.980545,5.407447
3.039529,3.85242,5.277333
3.121466,3.720494,5.140301
3.130886,3.501013,4.939658
3.064619,3.37868,4.854693
2.924486,3.220186,4.739213
2.7396,3.101354,4.75256
2.625036,2.988873,4.606605
2.475174,2.961384,4.53037
2.33345,3.01612,4.495669
2.187563,3.023924,4.267837
2.065569,2.992684,4.128903
1.999933,3.004042,4.096574
2.030875,2.831867,3.862118
1.963203,2.714879,3.768753
1.873152,2.560011,3.564196
