EL1: Electronic Ladder,A1: 4WkFrozen_F_2,B1: 4WkFrozen_F_3,C1: 8WkFrozen_F_2,D1: 8WkFrozen_F_3,E1: 12WkFrozen_F_2,F1: 12WkFrozen_F_3,G1: 16WkFrozen_F_2,H1: 16WkFrozen_F_3,A2: 20WkFrozen_F_2,B2: 20WkFrozen_F_3,C2: 24WkFrozen_F_2,D2: 24WkFrozen_F_3,E2: 28WkFrozen_F_2,F2: 28WkFrozen_F_3,G2: 20WkDry_F_2
0,0.1217058,0.1185956,0.2307286,0,0.05906153,0.1368909,0.1962771,0.1797662,0.1185484,0.212677,0.2183599,0.04341984,0.1006703,0.3324175,0.1224978
0,0.09750295,0.09188509,0.1812544,0,0.06677675,0.06109524,0.1632566,0.1557188,0.1060066,0.1770449,0.3060212,0.04013777,0.2449274,0.4227576,0.09054518
0,0,0.07484174,0.1700697,0,0.09992361,0.006751537,0.1137891,0.1449285,0.1520472,0.1279454,0.4270091,0.03723383,0.1726942,0.3551135,0.1170104
0,0,0.06936479,0.03603458,0,0.1430016,0,0.05107546,0.06738091,0.184443,0.1450658,0.5046053,0.02895403,0.1730242,0.3096204,0.1108994
0.3040228,0,0.03378224,0,0,0.1888289,0,0.06538296,0.09331179,0.1788492,0.1365237,0.6065397,0.05809736,0.1407108,0.2967372,0.09000778
1.405515,0,0,0,0,0.2386022,0,0,0.126184,0.0466342,0.081388,0.6432977,0.01516819,0.1124845,0.1806307,0.1099839
2.834507,0.04247284,0,0.007414341,0,0.3236365,0,0,0.137104,0,0.08235407,0.7274499,0.02476788,0.07636261,0.1752834,0.1071908
4.043449,0.08397722,0.02275896,0.03265762,0,0.342391,0,0.04757404,0.1383486,0.05150366,0.1415563,0.6302209,0,0.115984,0.1267018,0.1653757
5.409372,0.1372585,0.003644466,0.05592775,0.003808498,0.2285128,0,0,0.2243719,0.1114273,0.1245594,0.5243025,0.03470945,0.01398754,0.2076616,0.1209035
7.060751,0.09494257,0.02957773,0.1356668,0.01866341,0.2305145,0,0,0.2614951,0.1700563,0.1322007,0.4027324,0.1310215,0.03699589,0.2697167,0.1352849
9.01142,0.1473331,0.02191973,0.1934252,0.05618858,0.2856317,0,0,0.3136621,0.2496667,0.06005239,0.2605047,0.1828179,0.0993886,0.1391091,0.09227371
11.38547,0.1415749,0.01080775,0.2001848,0.05086136,0.3036776,0.02242136,0.02267694,0.2097859,0.2606997,0.06220579,0.2262053,0.2565842,0.1733871,0.1131935,0.1023812
14.12005,0.08697081,0,0.1568999,0.01653624,0.3401132,0,0.167057,0.1285596,0.2853141,0.06437778,0.1846123,0.3637838,0.2452168,0,0.1070199
17.26014,0,0.02901983,0.05297804,0,0.2733688,0.04568672,0.2705846,0.01030159,0.255743,0.1633043,0.200366,0.4504952,0.3004022,0,0.03930712
20.97051,0,0,0.02615976,0,0.1815763,0.01519632,0.253644,0.02251959,0.2190514,0.2053194,0.2463522,0.4447188,0.3450637,0,0.07901406
25.3254,0,0,0,0.008569241,0.0694952,0.0002570152,0.2101693,0.03351164,0.1180749,0.1220169,0.2827067,0.4018755,0.4112005,0,0.165679
30.42628,0,0.01624107,0,0,0,0.07904291,0.2455716,0,0.1100283,0.2013602,0.2990699,0.4402413,0.4053946,0.03716993,0.1993637
36.0128,0,0,0,0,0,0.02398872,0.2298779,0,0.1445422,0.2309141,0.2223277,0.3258638,0.3663778,0.1697044,0.2003272
42.3921,0.001217365,0,0,0,0,0,0.1676555,0.05263424,0.1368375,0.09876204,0.3096471,0.2280741,0.2579508,0.3094945,0.2759907
49.75721,0,0,0,0,0,0,0.1115932,0.1734791,0.08089066,0.08883047,0.314415,0.1578531,0.2715583,0.3203487,0.2975321
58.11675,0,0,0,0,0.03066683,0,0.1579351,0.2526155,0.08439827,0.007387638,0.3007393,0.05009508,0.2506766,0.2610469,0.2148175
67.09781,0.007342815,0.02575922,0,0,0.08611584,0,0.1957254,0.3472028,0.08913374,0,0.293292,0,0.2516885,0.1801376,0.216665
76.59318,0,0.03013253,0,0,0.09096861,0,0.173316,0.3461151,0.1232433,0,0.2503586,0,0.3255615,0.06911469,0.1158226
86.53235,0,0.07466435,0,0,0.1245446,0,0.1945243,0.3680611,0.1700273,0.003276825,0.2309251,0,0.3237152,0.01887703,0
96.71154,0,0.08573747,0,0,0.04498625,0,0.1511664,0.369483,0.2515669,0,0.2030783,0,0.3498034,0.06507826,0.07231498
107.3292,0,0.08605528,0.01013851,0,0.02088165,0.008164883,0.2086997,0.2551537,0.2717996,0.01006317,0.1998401,0,0.4079795,0.03313494,0.05320382
118.0085,0,0.05684686,0.06910276,0.02019501,0,0.02266121,0.279592,0.09823942,0.3208795,0.1111312,0.1059823,0,0.3457718,0.01413298,0.08254504
128.5506,0,0,0.04578638,0,0.1007886,0.0141325,0.353477,0.02505779,0.3026128,0.1446867,0.1336312,0,0.2203269,0.002004147,0.05921626
138.9781,0,0.02266431,0.08022261,0,0.1399875,0,0.4091887,0,0.2723637,0.165998,0.1360707,0.05441904,0.1850343,0.01800632,0.1197701
148.6813,0,0.05060005,0.1458306,0,0.1186309,0,0.4085078,0,0.1911244,0.2334237,0.05192518,0.04818726,0.1607022,0,0.1030633
158.0438,0,0.07956457,0.103447,0,0.1503549,0,0.4972115,0,0.2104397,0.2084641,0.005662918,0,0.1290894,0.03999233,0.08984232
165.8421,0,0.04374409,0.01237774,0,0.1508884,0,0.4700704,0,0.1518903,0.153471,0,0,0.1433096,0.07040071,0.1468792
172.4071,0,0,0,0,0,0,0.3941846,0,0.1758723,0.1003218,0.03005695,0.03150129,0.1558814,0.05539036,0.125813
177.1938,0,0,0,0,0,0,0.3690162,0.02276659,0.1867623,0.1039815,0.09375858,0,0.1679187,0.06709766,0.1359539
180.721,0,0.02390289,0,0,0,0,0.2480378,0.1128564,0.2007589,0.06831408,0.1785102,0,0.2226005,0.07181978,0.1700132
182.7976,0,0,0,0,0,0,0.1206946,0.1302204,0.1799788,0.04161596,0.1874528,0,0.3021135,0.06472635,0.1379185
184.0034,0,0,0,0,0,0,0.06996107,0.1076326,0.2484846,0.05562782,0.1304984,0,0.3302689,0.0393877,0.2166848
183.7612,0,0,0.03860378,0,0,0,0.04713631,0.03355694,0.2808719,0.1182556,0.1843219,0.03926897,0.3134093,0.01158667,0.1390989
182.0963,0,0,0.105896,0,0,0.2045288,0.02837563,0.06290913,0.3090649,0.1701183,0.1621923,0.05841255,0.3198986,0,0.07580519
179.2551,0,0,0.1791267,0,0,1.27832,0.02701759,0.05840349,0.3082709,0.1895661,0.1405334,0.04129744,0.266654,0,0.07514644
175.4089,0,0,0.1538272,0,0.09786367,2.679277,0,0.04234457,0.2933879,0.1989694,0.06026316,0,0.2919784,0.1357026,0.1486568
169.8648,0,0,0.1058998,0,0.1431508,4.512959,0,0,0.1283622,0.1877494,0,0,0.2463126,0.2770567,0.1377075
163.6694,0,0,0.02133703,0,0.05121613,6.932464,0,0,0.06587219,0.1097527,0.01590109,0.09827948,0.1390862,0.2742033,0.1330936
156.3133,0,0,0,0.9575062,0.05026627,9.853583,0,0,0,0.1201978,0.04542732,0.0915947,0.04876709,0.2406859,0.1469252
148.2467,0.7493639,0,0,2.419916,0.06221771,13.46498,0,0,0,0.09764624,0.07773304,0.08399916,0.01538515,0.2005634,0.07182217
139.6879,2.064836,0,0,4.451585,0,17.86498,0.04323483,0,0,0.04501152,0.07351542,0.08352327,0,0.1261573,0.05351567
131.4263,3.344085,0,0,7.170269,0,22.84079,0.1627917,0.03360033,0,0,0.02989674,0,0,0.007097244,0.09282827
122.399,4.859981,0,0,10.93011,0,28.51477,0.2030149,0,0,0,0.04406595,0.0240469,0,0,0
113.4277,6.475236,0,0,16.18518,0,35.22035,0.1619229,0.0505271,0,0,0.05000877,0.0001115799,0,0,0
104.7552,8.22775,0,0,23.1229,0,42.44265,0.07068348,0.02626657,0.03044987,0,0.09348822,0,0,0,0.002021551
96.02428,10.13164,0,0,32.66541,0,50.65659,0,0.02337074,0.09716225,0,0.0309391,0,0,0.08829546,0.01665497
87.56607,12.36558,0,0,45.15872,0,59.43065,0,0,0,0.06043148,0,0.01374054,0,0.2914562,0
79.93262,14.54916,0,0,60.64844,0,68.71141,0.04888344,0.005874634,0.04256296,0,0,0.05293179,0.01885033,0.2355652,0.03534508
72.51277,16.91513,0,0,79.56914,0.02977324,78.37063,0.03722143,0.03795004,0.07886267,0,0.1167274,0.1392064,0,0.1980295,0.07561493
65.42696,19.42324,0,0,102.6208,0,88.03779,0.02632093,0.1058521,0.1717048,0.04029226,0.1685905,0.09774017,0.03843021,0.1725402,0.1102111
58.7887,22.05693,0,0,130.0528,0,97.74857,0.03840113,0.1579123,0.2270389,0.05210638,0.2652836,0.05571461,0.07797527,0.07422733,0.1537004
53.03083,24.72008,0,0,162.2896,0,106.8654,0.06638384,0.1726446,0.3202877,0.004018784,0.3030772,0,0.08049774,0.02937746,0.2313507
47.41869,27.81976,0,0,198.3767,0,115.0738,0.07115602,0.1452289,0.4247427,0,0.3257198,0,0.1043768,0,0.1424704
42.51573,31.11474,0,0,237.8376,0,122.3363,0.001348495,0.09626341,0.4042172,0,0.208869,0,0.05336094,0,0.104984
38.00323,34.44983,0,0,281.4034,0,128.0462,0,0,0.3836613,0,0.1580806,0,0,0,0.1795225
34.11943,38.01942,0,0,329.6032,0,132.3093,0,0,0.3220801,0,0.08748484,0,0,0,0.09563208
30.83343,41.88752,0,0.133419,380.1914,0,134.591,0,0,0.2067561,0.00599575,0.03845119,0.04475403,0,0,0.05129218
28.08009,45.88081,0,0.3765593,432.1286,0,134.9128,0,0,0.2285633,0,0,0.1006532,0,0,0.142489
25.57552,50.08323,0,0.783247,483.1161,0,133.2467,0.03329897,0,0.2499666,0,0.05074644,0.1700845,0.006734848,0,0.1673346
23.51604,54.58486,0,1.272244,533.6315,0,129.793,0.1526451,0.01014042,0.3018594,0,0,0.1508555,0.1115732,0,0.2082942
21.80286,59.32928,0,2.038177,580.2385,0,124.8427,0.1892018,0,0.3793812,0,0,0.08011484,0.1384783,0,0.2473068
20.47512,64.35484,0,2.950998,621.2313,0,118.3717,0.1450739,0,0.3703799,0.008777618,0,0,0.07658958,0,0.3281083
19.14278,69.78615,0,4.135468,654.702,0,110.7765,0.1255035,0,0.3526421,0,0.01729298,0,0.08398867,0,0.3209333
