EL1: Electronic Ladder,A1: 52Wk
0.4975266,0
0.42869,0
0.336771,0
0.3369617,0.1998568
0.1899681,0.251605
0.1231194,0.2668066
0.2196927,0.3872194
0.3208256,0.3757219
0.2842078,0.2909689
0.2832747,0.2117529
0.2630801,0.227685
0.2557712,0.3366289
0.0422349,0.579648
0,0.8594217
0,1.064656
0,1.344821
0,1.514995
0.05741119,1.490514
0.03095388,1.351363
0.04023933,1.202872
0.0337534,1.057044
0.08335352,0.8471804
0.008488655,0.7821589
0.1171288,0.7347841
0.3361812,0.7891836
0.5138278,0.9508352
0.6899028,1.187737
0.8195195,1.652518
0.7076168,2.119153
0.5635376,2.624833
0.4010873,2.950257
0.1906056,3.197919
0,3.384748
0,3.483035
0.0883379,3.499476
0,3.513017
0,3.523261
0,3.522338
0.01759577,3.516166
0.1006603,3.460176
0.004097462,3.205541
0,2.817704
0,2.457967
0,2.216523
0,1.916368
0,1.751483
0,1.642159
0,1.518785
0.1174908,1.503663
0.1024199,1.408198
0.06477284,1.203013
0.07107067,0.8356009
0.1819453,0.7840891
0.3298547,1.122775
0.2333026,1.837905
0.2720637,2.119363
0.3218689,0
0.4563558,0
0.3584759,7.368741
0.3213491,26.27224
0.1099298,52.44532
0,80.74825
0,107.1458
0,127.3409
0,137.8846
0,136.1099
0,121.1468
0.06018877,100.9126
0,82.85891
0,68.04115
0,53.88169
0,40.46097
0,28.0248
0.0526017,16.94094
0.211851,7.802108
0.3309728,1.356739
0.3165656,0
0.2952315,0
0.08128011,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.01898532
0,0
