EL1: Electronic Ladder,A1: 60WkDry_F_2,B1: 60WkDry_F_3,C1: 72WkDry_F_2,D1: 72WkDry_F_3,E1: 60WkFrozen_F_2,F1: 60WkFrozen_F_3,G1: 72WkFrozen_F_2,H1: 72WkFrozen_F_3,A2: 24WkDry_F_3,B2: 36WkDry_F_3
1.037474,237.0498,202.4768,82.52935,61.98697,53.6769,152.8222,71.48056,319.0738,55.20386,0.1273642
1.257266,237.2003,202.1977,84.18166,62.29404,52.97673,166.5256,73.3531,304.0406,72.28358,0.04331827
1.272376,237.4052,202.3238,85.97066,62.93475,53.12105,181.192,75.57596,285.3977,92.54635,0.04750443
1.354032,237.8438,203.3747,87.95382,64.19616,53.75417,196.2816,78.52496,264.5943,116.6631,0
1.327152,238.9505,205.4304,89.92185,65.96879,55.27154,212.135,81.98039,241.9574,144.7663,0
1.441128,241.0638,208.3761,91.88096,68.52225,57.33287,228.3529,86.16782,219.6671,177.7823,0
1.437162,244.5149,212.7699,93.44958,71.59517,60.12245,244.6794,90.89046,198.0537,216.2561,0.001935005
1.53565,249.5157,218.3644,95.21561,75.42609,63.58467,261.0825,96.41086,178.0708,257.9185,0.03831625
1.483832,256.2883,225.0466,96.73856,79.82961,67.5557,277.0585,102.6952,159.6538,302.7388,0
1.313531,263.6921,232.9336,97.91009,84.74687,71.95611,291.6744,109.8669,143.865,351.7552,0
1.350208,272.8177,242.4587,98.95524,90.32578,76.99528,306.4186,117.4604,130.3418,403.9324,0.03305817
1.262451,282.9932,253.5412,99.69666,96.4958,82.60475,319.8212,125.6955,119.1335,459.075,0
1.230331,293.3489,264.8951,100.0661,102.7931,88.82079,331.8491,134.6281,109.5155,513.188,0
1.182846,305.6707,278.1829,100.2313,109.5901,95.60194,341.8336,144.4125,102.0653,567.483,0
1.293417,317.8844,290.4011,100.0907,116.3851,103.0498,350.7553,154.7502,96.19884,621.3101,0
1.43209,331.1611,303.3846,99.5882,123.1535,110.7489,357.9704,165.3818,91.78619,670.8474,0
1.565934,344.3285,316.6275,98.8179,129.3719,119.0962,363.0742,176.8262,88.84676,715.7004,0
1.778693,358.0604,329.6149,97.94993,134.8738,127.8886,367.3991,188.3418,86.84777,750.7181,0.003529072
1.832576,369.7005,341.4899,96.90274,139.5672,137.0511,368.9645,200.1861,85.63718,775.2349,0
