EL1: Electronic Ladder,A1: Fresh_Mo_F_1,B1: Fresh_Mo_F_2,C1: Fresh_Mo_F_3
28.68027,156.5568,51.06357,182.1912
28.8009,155.227,50.81707,181.7103
29.15866,154.5545,50.76947,180.8537
29.19191,153.5016,50.67521,180.4377
29.2986,152.7395,50.54264,179.9784
29.56035,152.3779,50.3582,179.443
29.79193,151.6674,50.23709,178.9642
29.99135,151.2726,50.10537,178.3068
30.35151,150.7167,49.98775,177.8295
30.71473,150.0538,49.83717,177.4021
31.33374,149.2215,49.76607,177.1109
31.8958,147.7619,49.76099,176.5797
32.6011,146.5419,49.79646,176.3736
33.20981,145.5814,49.67575,177.026
34.07283,144.7834,49.53531,177.3065
35.05488,144.0575,49.14869,178.0867
36.04663,143.5709,48.89379,179.3965
36.83076,143.2624,48.6153,180.6073
37.98085,143.141,48.44793,182.0266
39.08854,141.9962,48.23267,183.2491
40.44449,140.9575,48.14848,184.1135
41.66251,139.9072,47.98671,184.626
43.2342,139.079,47.82977,184.6855
44.89377,138.0726,47.62678,184.2165
46.91675,137.0329,47.32118,183.08
48.89026,136.0562,47.06275,181.7712
51.3625,135.2884,46.90915,180.2961
55.00621,134.2657,46.73014,178.6569
60.78937,133.1927,46.61648,176.8083
67.45579,131.7389,46.46716,175.1778
76.93469,130.6288,46.38452,173.3774
89.78162,129.8574,46.18151,171.7336
108.1065,128.6341,46.11397,169.7751
132.5022,127.422,45.83403,168.005
163.1454,126.4647,45.48741,166.3915
200.3711,125.6005,45.43816,164.7959
243.9467,124.6968,45.23613,163.5972
291.2039,123.6517,45.10378,162.5387
338.1341,122.6749,45.04119,161.5674
378.441,121.8999,44.96841,160.9748
410.5762,121.3227,44.94294,160.2165
429.4778,120.3767,44.99998,159.6158
434.5762,119.2848,44.92247,159.2913
424.2587,118.7753,44.8041,158.9729
401.0224,117.8664,44.69911,158.3728
367.8916,117.0016,44.64495,157.953
328.8126,116.1655,44.56081,157.2776
286.2986,115.2929,44.46146,156.3808
243.6584,114.234,44.37952,155.624
203.4726,113.5542,44.25173,154.6955
168.3684,112.8404,44.10528,153.7067
138.6168,111.8065,44.09026,152.9862
115.0981,111.1741,43.80487,152.5102
96.43207,110.5071,43.61156,151.9745
83.11102,109.206,43.46721,151.4905
73.37795,108.289,43.38534,151.1551
66.56516,107.5882,43.45937,150.7422
61.43027,106.7642,43.34995,149.9888
57.54845,105.763,43.20938,149.257
54.54342,104.8911,43.05488,148.2717
52.24219,103.8755,42.99967,147.1793
50.74192,102.5586,42.94676,146.0677
49.5243,101.424,42.74849,144.8847
48.23606,100.2282,42.6466,143.6283
47.05144,98.98151,42.70297,142.6647
45.9033,98.13941,42.835,141.4202
44.80546,97.59354,42.84968,140.2624
43.8345,97.24545,42.77563,138.9126
42.99827,96.47111,42.65808,137.9445
41.84529,95.70906,42.50627,137.2485
41.15577,95.4499,42.38797,136.5385
40.62458,94.56714,42.34661,135.7521
40.24195,93.88333,42.29014,135.22
40.09595,93.44795,42.24263,134.8927
40.08971,92.80647,42.29378,134.5381
40.16565,92.25551,42.37027,133.9531
40.27295,91.53663,42.41893,133.4077
40.27584,90.83544,42.51316,132.8019
40.3533,89.70252,42.58271,132.4585
39.90576,88.9447,42.51661,132.0706
39.52253,88.4801,42.53325,131.6665
39.328,87.57977,42.59601,131.3236
38.97767,87.00004,42.56699,131.3517
38.9377,86.45378,42.56408,131.4037
38.84604,85.67701,42.47179,131.3565
38.8927,85.09944,42.42245,131.434
39.03972,84.42022,42.39175,131.6609
39.08849,83.85881,42.3828,131.6877
39.39025,83.27551,42.51046,132.164
39.43625,82.77402,42.64508,132.6295
39.56673,82.13548,42.75852,133.7449
39.79207,81.56532,42.86958,135.4242
40.00423,80.93126,42.92382,137.7216
40.51925,79.95916,42.95805,140.749
40.74812,79.26979,42.92957,144.4496
41.04582,78.50211,42.93336,148.6533
41.44083,77.52738,42.89658,152.9768
41.66561,76.44469,42.86178,156.8163
41.9361,75.49763,42.90185,160.1657
42.04552,74.76163,42.87042,162.4046
42.30717,74.16633,42.88874,163.8438
42.51877,73.97025,42.95219,164.0213
43.29195,73.75199,42.88279,163.1283
44.16927,73.60573,42.87537,161.8853
44.80107,73.59257,42.95339,160.2611
45.88068,73.20462,43.07465,158.3762
47.22343,72.74405,43.16386,156.7788
48.34975,71.95905,43.18396,155.1706
49.37782,71.40622,43.11107,153.7811
50.39648,70.77674,43.04427,152.4215
51.83561,70.18478,42.99783,150.8828
52.99356,69.21483,42.93762,148.8849
54.57263,68.21722,42.95335,146.3255
56.20294,67.27689,42.9526,143.5861
58.65975,66.21165,43.04018,140.1453
61.24603,65.18254,43.1288,136.1428
64.48589,64.20296,43.20329,132.1685
69.39481,63.35921,43.24075,128.147
75.40455,62.82864,43.28953,124.4651
82.90659,62.37891,43.34761,121.0269
92.90875,62.05574,43.38592,117.9719
